Winery Name,Address,City,State,Zip,Latitude,Longitude,Phone Number,Website URL,Twitter,Facebook
a?Maurice Cellars,178 Vineyard Lane,Walla Walla ,WA,99362,46.087231,-118.201802,(509)522-5444,http://amaurice.com/,,
Abeja,2014 Mill Creek Road ,Walla Walla,WA,99362,46.0873729,-118.22673,(509)526-7400,http://www.abeja.net/,,
Adamant Cellars,525 Cessna Avenue,Walla Walla,WA,99362,,,(509)529-4161,http://www.adamantcellars.com/,http://twitter.com/adamantcellars,
Amavi,3796 Peppers Bridge Road,Walla Walla ,WA,99362,46.01615,-118.38378,(509)525-3541,http://www.amavicellars.com/,http://twitter.com/AmaviCellars,
Ash Hollow Winery,1460 F Street ,Walla Walla,WA,99362,46.09031,-118.26562,(509)529-7565,http://www.ashhollow.com/,http://twitter.com/AshHollow,
Balboa Winery,4169 Peppers Bridge Road,Walla Walla ,WA,99362,46.005979,-118.38332,(509)529-0461,http://www.balboawinery.com/,http://twitter.com/balboawinery,
Basel Cellars Estate Winery,2901 Old Milton Highway ,Walla Walla ,WA,99362,46.01785,-118.39603,(509)522-0200,http://www.baselcellars.com/,http://twitter.com/Basel_Cellars,https://www.facebook.com/baselcellars
Beresan Winery,4169 Peppers Bridge Road,Walla Walla,WA,99362,46.005979,-118.383322,(509)522-2395,http://beresanwines.com/,,https://www.facebook.com/beresanwines
Bergevin Lane Vineyards,1215 West Poplar Street,Walla Walla ,WA,99362,46.0583949,-118.35293,(509)526-4300,http://bergevinlane.com/,http://twitter.com/blvwine,http://www.facebook.com/pages/Bergevin-Lane/95681546853
Bunchgrass Winery,151 Bunchgrass Lane,Walla Walla,WA,99362,46.0617719,-118.41559,(509)540-8963,http://bunchgrasswinery.com/,,https://www.facebook.com/bunchgrass
Buty Winery,535 East Cessna Avenue,Walla Walla ,WA,99362,46.0874269,-118.27227,(509)527-0901,http://www.butywinery.com/,http://twitter.com/ButyWinery,http://www.facebook.com/pages/Buty-Winery/123003631089321
Cadaretta,315 East Main Street,Walla Walla,WA,99362,46.070239,-118.33537,(509)525-1352,http://www.cadaretta.com/,http://twitter.com/cadaretta,
Castillo de Feliciana,85728 Telephone Pole Road,Milton Freewater,OR,97862,45.9589039,-118.36608,(541)558-3656,http://castillodefeliciana.com/,http://twitter.com/felicianawinery,http://www.facebook.com/pages/Castillo-de-Feliciana-Vineyard-Winery/177659048918314
Cayuse Vineyards,17 E. Main Street,Walla Walla,WA,99362,46.0670659,-118.33855,(509) 526-0686,http://www.cayusevineyards.com/static/,,
College Cellars,3020 Isaacs Avenue,Walla Walla,WA,99362,46.0785649,-118.27645,(509) 524-5170,,https://twitter.com/collegecellars,http://www.facebook.com/CollegeCellars
Corliss Estates,511 N Second Avenue,Walla Walla,WA,99362,46.0708959,-118.34324,509 526-4400,http://corlissestates.com/,,http://www.facebook.com/#!/pages/Corliss-Estates/203034313069641
Corvus Cellars,596 Piper Ave ,Walla Walla,WA,99362,46.091942,-118.26111,509-241-0318,http://www.corvuscellars.com/,http://twitter.com/CorvusCellars/,http://www.facebook.com/corvuscellars
Cougar Crest Estate Winery,50 Frenchtown Road,Walla Walla,WA,99362,46.047144,-118.49091,(509) 529-5980,http://www.cougarcrestwinery.com/,http://twitter.com/CougarCrest,http://www.facebook.com/cougarcrestwinery
DaMa Wines,51 East Main Street ,Walla Walla ,WA ,99362,46.0672039,-118.33821,509-525-2299 ,http://www.damawines.com/,https://twitter.com/#!/DaMaWines,http://www.facebook.com/damawines
Doubleback,229 E Main St,Walla Walla,WA,99362,46.069057,-118.33616,509-525-3334,http://www.doubleback.com/,https://twitter.com/#!/doublebackwine,http://www.facebook.com/DoublebackWinery
Dunham Cellars,150 E. Boeing Ave.,Walla Walla,WA,99362,46.0886418,-118.27693,509-529-4685,http://www.dunhamcellars.com/,http://www.twitter.com/dunhamcellars,http://www.facebook.com/dunhamcellars
Dusted Valley Vintners,1248 Old Milton Highway,Walla Walla,WA,99362,46.024329,-118.35045,509-525-1337,http://dustedvalley.com/,http://twitter.com/DustedValley,http://www.facebook.com/DustedValley
Echo Ridge Cellars,1102 Dell Ave,Walla Walla,WA,99362,46.071205,-118.356925,425-749-9073,http://www.echoridgecellars.com/index,https://twitter.com/EchoRdgeCellars,https://www.facebook.com/EchoRidgeCellars
Elegante? Cellars,839 &quot;C&quot; St.,Walla Walla,WA,99362,46.0881649,-118.27599,509 525 9129,http://www.elegantecellars.com/,,
Ensemble Cellars,145 E. Curtis Avenue,Walla Walla,WA,99362,46.0881899,-118.27147,(509) 525-0231,http://www.ensemblecellars.com/,,http://www.facebook.com/pages/Ensemble-Cellars/262441909311
FIGGINS,2900 Melrose St,Walla Walla,WA,99362,,,509-522-7808,http://www.figginswine.com/,,https://www.facebook.com/FIGGINSWinery
Five Star Cellars,,Walla Walla,WA,99362,,,(509) 527-8400,http://www.fivestarcellars.com/,http://twitter.com/fivestarcellars,http://www.facebook.com/pages/Five-Star-Cellars/282447362770
Fjellene Cellars,1050 Merlot Drive,Walla Walla,WA,99362,46.0109429,-118.34499,541-861-9359,https://fjellenecellars.com/,http://twitter.com/fjellenecellars,http://www.facebook.com/pages/Fjellene-Cellars/346355857566
Fort Walla Walla Cellars,127 E. Main Street,Walla Walla,WA,99362,46.068852,-118.33688,(509) 520-1095,http://www.fortwallawallacellars.com/,http://twitter.com/FWW_Cellars,http://www.facebook.com/pages/Fort-Walla-Walla-Cellars/102060249005
Foundry Vineyards,1111 Abadie Street,Walla Walla,WA,99362,46.062978,-118.35667,509-529-0736,http://www.foundryvineyards.com/,http://twitter.com/FoundryVineyard,http://www.facebook.com/pages/Foundry-Vineyards/198122406886154
Garrison Creek Cellars,4153 Hood Road,Walla Walla,WA,99362,46.004229,-118.27465,509-525-7377,http://www.garrisoncreekcellars.com/,,http://www.facebook.com/pages/Garrison-Creek-Cellars/164945756899828
Gifford Hirlinger,1450 Stateline Road,Walla Walla,WA,99362,46.0007099,-118.36545,(509) 301-9229,https://giffordhirlinger.com/,http://twitter.com/ghwine,http://www.facebook.com/pages/Gifford-Hirlinger/47968482846
Glencorrie Winery,8052 Old Highway 12,Walla Walla ,WA ,99362,46.046982,-118.499691,509-525-2585 ,http://www.glencorrie.com/,http://twitter.com/Glencorrie,http://www.facebook.com/pages/Glencorrie-Winery/105593436153823
Gramercy Cellars,635 N 13th Ave,Walla Walla,WA,99362,46.066977,-118.35692,509.876.2427 ,http://www.gramercycellars.com/,,http://www.facebook.com/GramercyCellarsFanPage
Grantwood Winery,2428 Heritage Rd,Walla Walla,WA,99362,46.0678169,-118.39624,509-301-9546,,,
